Latitude_Degrees;Longitude_Degrees;Ocean_Name;Ecoregion_Name;Distance_to_Shore;Exposure;Turbidity;Cyclone_Frequency;Date_Year;Percent_Bleaching;Temperature_Kelvin;Temperature_Mean
26.4378;127.7137;Pacific;North Ryukyu Islands Japan;36.94;Sheltered;0.0431;61.47;2010;0;294.64;297.86
26.4420;127.7102;Pacific;North Ryukyu Islands Japan;218.85;Exposed;0.0431;61.47;2010;0;302.11;297.86
26.4427;127.7668;Pacific;North Ryukyu Islands Japan;154.54;Sheltered;0.0341;64.30;2010;0;301.95;297.82
26.4443;127.7661;Pacific;North Ryukyu Islands Japan;275.38;Exposed;0.0341;64.30;2010;0;301.95;297.82
26.6287;127.8594;Pacific;South Ryukyu Islands Japan;77.94;Sometimes;0.0413;66.52;2016;0;302.39;297.67
26.6800;127.8814;Pacific;South Ryukyu Islands Japan;24.31;Sometimes;0.0375;66.87;2011;0;299.94;297.66
26.6953;127.8762;Pacific;South Ryukyu Islands Japan;50.33;Sheltered;0.0375;66.87;2010;0;295.78;297.66
27.0361;128.4010;Pacific;North Ryukyu Islands Japan;185.61;Sheltered;0.035;69.53;2011;0;293.91;297.61
28.1101;129.2163;Pacific;North Ryukyu Islands Japan;174.82;Sheltered;0.0386;58.32;2013;0;300.95;297.3
24.2617;124.0243;Pacific;South Ryukyu Islands Japan;1305.78;Sheltered;0.0620;60.68;2010;0;299.07;298.87
24.2853;123.7313;Pacific;South Ryukyu Islands Japan;980.33;Exposed;0.0317;73.79;2010;0;298.29;299.18
24.2895;123.7391;Pacific;South Ryukyu Islands Japan;193.83;Exposed;0.0317;73.79;2010;0;299.54;299.21
24.3280;124.1730;Pacific;South Ryukyu Islands Japan;296.21;Sheltered;0.0413;65.89;2010;0;300.83;298.95
24.3378;124.1956;Pacific;South Ryukyu Islands Japan;77.47;Sheltered;0.0538;64.82;2011;0;295.24;298.94
24.3380;124.1996;Pacific;South Ryukyu Islands Japan;392.24;Exposed;0.0486;64.82;2010;0;298.95;298.94
24.3437;124.2113;Pacific;South Ryukyu Islands Japan;992.49;Exposed;0.0367;64.82;2011;0;295.24;298.94
24.3567;123.9467;Pacific;South Ryukyu Islands Japan;754.66;Sheltered;0.0602;65.58;2010;0;301.17;298.84
24.4022;123.8881;Pacific;South Ryukyu Islands Japan;773.25;Exposed;0.0416;65.58;2010;0;299.01;299
24.4228;123.8186;Pacific;South Ryukyu Islands Japan;1458.23;Sheltered;0.079;77.11;2010;0;297.86;299.1
24.4231;123.8206;Pacific;South Ryukyu Islands Japan;1589.21;Sheltered;0.079;77.11;2010;0;297.86;299.07
24.4341;123.8243;Pacific;South Ryukyu Islands Japan;3073.64;Sheltered;0.079;77.11;2010;0;302.35;299.07
24.4344;123.8175;Pacific;South Ryukyu Islands Japan;2245.18;Sheltered;0.079;77.11;2010;0;297.86;299.1
24.4347;123.7988;Pacific;South Ryukyu Islands Japan;1049.37;Sheltered;0.079;77.11;2010;0;302.07;299.1
24.4348;123.8214;Pacific;South Ryukyu Islands Japan;2588.32;Sheltered;0.079;77.11;2010;0;300.67;299.07
24.435;123.8167;Pacific;South Ryukyu Islands Japan;2213.64;Sheltered;0.079;77.11;2010;0;297.86;299.1
24.4358;123.8172;Pacific;South Ryukyu Islands Japan;316.66;Sheltered;0.079;77.11;2010;0;297.86;299.1
24.4456;124.0747;Pacific;South Ryukyu Islands Japan;373.86;Exposed;0.0435;66.81;2010;0;297.56;298.90
24.4476;124.0750;Pacific;South Ryukyu Islands Japan;443.28;Exposed;0.0435;66.81;2010;0;301.73;298.90
24.4478;124.0754;Pacific;South Ryukyu Islands Japan;380.37;Exposed;0.0435;66.81;2010;0;298.95;298.90
24.9046;125.2653;Pacific;South Ryukyu Islands Japan;181.93;Sheltered;0.0553;66.00;2013;0;302.82;298.48
24.9047;125.2655;Pacific;South Ryukyu Islands Japan;200.54;Sheltered;0.0553;66.00;2013;0;302.02;298.48
